,,,,,,,,,Nutritional Panel (per 100g),,,,,,,Balancing fields,,,,,,,Calculated field,Calculated field,Calculated field,Calculated field,Calculated field,Recipe Ranges,,Cost,,,,,,,,,Chocolate,,,Allergens,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Category,Type,Ingredient,Component,Preparation,Brand,Food Composition ID,"Energy, FSANZ",Protein,"Fat, total","Fat, saturated (SFA)","Carbohydrate, available","Sugars, total",Sodium (mg),Water,Lactose,Sucrose,Fructose,Glucose,Alcohol,Dextrose,Total solids,Other solids,MSNF,PAC,POD,Min range,Max range,Supplier,Supplier code,Package size,Cost per pack (GST excl),Cost per pack,Price last updated,Initial cost per kg,% of useful product,Cost per kg,HF,Dry Cocoa solids (without fat),Cocoa butter,Wheat,​Fish,​Crustacean,​Mollusc,​Egg,​Milk,​Lupin,​Peanut,"​Soy, Soya, Soybean",​Sesame,​Almond,​Brazil Nut,​Cashew,​Hazelnut,​Macadamia,​Pecan,​Pistachio,​Pine Nut,​Walnut,​Barley*,​Oats*,​Rye*,​Sulphites**,FY24/25 Stocktake
"Peanut butter, Smooth (Marsanta)","Active, completed",Dried Fruit,Wet,"Peanut butter, Smooth",,,Marsanta,,2488,26.7,47.8,6.3,14.3,5.9,180,0.6,0,5.9,0,0,0,0,99.4,18.8,0.0,5.9,5.9,,,Davis,,500,$3.89,$4.47,,,,$8.95,66.92,,0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Peanut butter, Smooth (Pic's)","Active, completed",Dried Fruit,Wet,"Peanut butter, Smooth",,,Pic's,,2488,26.7,47.8,6.3,14.3,5.9,180,0.6,0,5.9,0,0,0,0,99.4,18.8,0.0,5.9,5.9,,,,,1000,$14.34,$16.49,,,,$16.49,66.92,,0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4 bottles
Peanut paste,"Inactive, incomplete",Dried Fruit,,Peanut paste,,,Generic,,,24.9,49.2,,,7,0,1,0,7,0,0,0,0,99.0,17.9,0.0,7.0,7.0,,,Pak n save (Fix & Fogg),,,$0.00,,,,,#DIV/0!,68.88,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Peanut, blanched, dry roasted, unsalted","Inactive, incomplete",Dried Fruit,,,,,,Q1064,,24.9,49.2,,,7,0,1,0,7,0,0,0,0,99.0,17.9,0.0,7.0,7.0,,,Pak n Save,,,$0.00,,,,,#DIV/0!,68.88,,0,,,,,,,,,,,,,,,,,,,,,,,,
Pear (fresh),"Active, incomplete",Fruit,,Pear (Taylors Gold),flesh,raw,Generic,L1015,,0.4,0.3,,,9.9,1,84.7,0.1,0.5,6.8,2.5,0,0,15.3,4.7,0.0,18.3,13.8,,,New World,,1000,$5.21,$5.99,,,,$5.99,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Peppermint, extract (Hansells)","Active, completed",Flavour,Wet,Peppermint,,extract,Hansells,,,,,,,,,60,,,,,35,,40.0,40.0,0.0,259.0,0.0,,,,,50,$2.69,$3.09,,,,$61.80,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Peppermint, fresh","Active, completed",Other,Dry,Peppermint,,fresh,,,293,3.75,0.94,0.94,14.9,0,0,78.6,0,0,0,0,0,0,21.4,16.7,0.0,0.0,0.0,,,,,10000,$149.90,$172.39,,,,$17.24,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Pineapple (fresh),"Inactive, incomplete",Fruit,,Pineapple,flesh,raw,Generic,L144,,0.5,0.2,,,11.4,2,86.5,0,6.7,2.7,2,0,0,13.5,1.4,0.0,15.6,12.7,,,Pak n save,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple jam,"Active, completed",Mix-in,z.Topping,Pineapple jam,,,Homemade,,579.24,1.28,0.22,0.18,32.28,25.39,8.35,-479.2,#VALUE!,#REF!,#REF!,#REF!,#N/A,#N/A,579.2,552.3,0.0,#VALUE!,#VALUE!,,,Home made,,1000,$6.16,$7.08,,,,$7.08,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Pineapple juice, juice (Mccoy)","Active, completed",Fruit,Wet,Pineapple juice,juice,,Mccoy,,177,1,0,0,10,10,1,86.1,,3.03030303,3.409090909,3.560606061,0,0,13.9,2.9,0.0,16.3,11.3,,,Pak n Save,,1000,$3.30,$3.79,,,,$3.79,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1 bottle
Pineapple tart,"Active, completed",Mix-in,z.Topping,Pineapple tart,,,Homemade,,2015.42,6.22,33.05,20.57,37.62,4.74,326.02,-1915.4,#VALUE!,#REF!,#REF!,#REF!,#N/A,#N/A,2015.4,1971.1,0.0,#VALUE!,#VALUE!,,,Home made,,1000,$4.41,$5.07,,,,$5.07,,,0,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Pineapple, flesh, frozen (Essente)","Active, completed",Fruit,Wet,Pineapple,flesh,frozen,Essente,L144,366,1.5,0.2,0.2,19.6,11.4,9,86.5,0,6.7,2.7,2,0,0,13.5,0.4,0.0,15.6,12.7,,,Davis,PINTF,1000,$6.91,$7.95,,,,$7.95,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Pistachio paste (Fructital),"Active, completed",Dried Fruit,Wet,Pistachio paste,,,Fructital,Q1046,2657,22,55,6.1,11,5.2,0,4,0,5.2,0,0,0,0,96.0,13.8,0.0,5.2,5.2,,,Pacific Ingredients,,1000,$102.50,$117.88,17 Jul,,,$117.88,70,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,
Pistachio paste (No colour) (Rubicone),"Active, incomplete",Dried Fruit,Wet,Pistachio paste (No colour),,,Rubicone,,2789.41,9.03,75.73,25.57,4.34,1.03,0.1,4,0,1.03,0,0,0,0,96.0,10.2,0.0,1.0,1.0,,,Majors,F068,3000,$391.00,$449.65,,,,$149.88,70,,0,,,,,,,,,,,,,,,,,,,,,,,,1 bucket
Pistachio paste (Rubicone),"Active, completed",Dried Fruit,Wet,Pistachio paste,,,Rubicone,Q1046,2789.41,9.03,75.73,25.57,4.34,1.03,4,4.1,0,1.03,0,0,0,0,95.9,10.1,0.0,1.0,1.0,,,Majors,F052,3000,$358.33,$412.08,17 Jul,,,$137.36,70,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,
"Pistachio, kernel, dry roasted (Davis)","Active, incomplete",Dried Fruit,,Pistachio,kernel,dry roasted,Davis,,,,,,,,,,,,,,,,,0.0,,,,,,Costco,,680,$27.82,$31.99,,,,$47.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Plant milk (No Ordinary),"Active, completed",Vegetable,Wet,Plant milk,,,No Ordinary,,176,2,3,0.3,1.8,1.8,200,78.32,0,1.8,0,0,0,0,21.7,14.7,0.0,1.8,1.8,,,Woolworths,,1000,$4.17,$4.79,,,,$4.79,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Plum,"Inactive, incomplete",Fruit,,Plum,,raw,Generic,L155,,0.7,0.6,,,13.8,4,85.4,0,6.4,2.2,5.2,0,0,12.8,-2.3,0.0,20.5,13.8,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Popcorn, air popped","Active, completed",Other,Dry,Popcorn,,air popped,,,,13.1,4.5,,,0.9,80,3.3,0,0.7,0.1,0.1,0,0,96.7,78.1,0.0,1.1,0.9,,,,,85,$0.87,$1.00,,,,$11.76,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Pumpkin pie spice,"Active, completed",Mix-in,z.Topping,Pumpkin pie spice,,,Homemade,,1055.88,4.26,9.31,5.30,26.01,9.18,9045.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.4,0.0,#N/A,#N/A,,,Home made,,1000,$13.87,$15.95,,,,$15.95,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Pumpkin, flesh, baked (SB)","Active, completed",Vegetable,Wet,Pumpkin,flesh,baked,SB,,,13.1,4.5,,,0.9,80,84.5,0,0.50,0.18,0.22,0,0,15.5,-3.1,0.0,1.3,1.0,,,Gilmours,5209999,1000,$4.20,$4.83,,,65%,$7.43,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Pumpkin, flesh, frozen (SB)","Active, completed",Vegetable,Wet,Pumpkin,flesh,frozen,SB,,196,1.1,0.4,0.2,8.5,5.7,1.5,89.5,0,1.9,2,1.8,0,0,10.5,3.3,0.0,9.1,6.6,,,Gilmours,5209999,1000,$4.20,$4.83,,,,$4.83,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Raspberry (fresh),"Inactive, incomplete",Fruit,,Raspberry,,raw,Generic,L163,,1.1,0.6,,,4.6,2,87.7,0,1.4,1.5,1.7,0,0,12.3,6.0,0.0,7.5,5.1,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Raspberry (frozen),"Inactive, incomplete",Fruit,,Raspberry,,frozen,Generic,L1228,,0.9,0.9,,,5.8,0,85.9,0,0.2,2.2,5.2,0,0,14.1,6.5,0.0,14.3,7.6,,,Reso Fine Food - Boiron ,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Red bean paste (Lin Hing),"Inactive, incomplete",Vegetable,,"Red beans, adzuki",whole,boiled,Lin Hing,X136,500,7.5,0.1,0.02,20.1,1.1,8,66.3,0,1.1,0,0,0,0,33.7,25.0,0.0,1.1,1.1,,,Home Supply (made up price),,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Red bean, whole, raw (Lin Hing)","Active, completed",Vegetable,Wet,Red bean,whole,raw,Lin Hing,X136,1380,19.9,0.53,0.2,63,0,5,13.4,0,0,0,0,0,0,86.6,66.2,0.0,0.0,0.0,,,Home Supply (made up price),,1000,$8.75,$10.06,,,,$10.06,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Rice bran oil,"Active, completed",Oil,Wet,Rice bran oil,,,Pams,,3400,0,92,22.6,0,0,0,8,0,0,0,0,0,0,92.0,0.0,0.0,0.0,0.0,,,Pak n Save,,2000,$8.95,$10.29,,,,$5.15,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5 litres
"Rice milk, unsweetened (Vitasoy)","Active, completed",Grain,Wet,"Rice milk, unsweetened",,,Vitasoy,,185,0.2,1.2,0.1,8,5.8,65,89.1,0.00,0.04,0.04,0.87,0,0,10.9,3.6,0.0,1.8,0.7,,,Pak n save,,1000,$3.47,$3.99,,,,$3.99,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Roti paratha (Kawan),"Active, completed",Other,Dry,Roti paratha,,,Kawan,,1460,5.6,17.4,10.3,43.7,10.1,320,34.3,0,10.1,0,0,0,0,65.7,32.3,0.0,10.1,0.0,,,Pak n save,,2000,$15.64,$17.99,,,,$9.00,,,0,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Rum,"Inactive, incomplete",Alcohol,,Rum,,,Generic,,,0,0,,,15,10,66.6,0,0,15,0,38,0,33.4,18.4,0.0,309.7,25.5,,,Liquor land,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Salt,"Active, completed",Other,Dry,Salt,,,Generic,P81,0,0,0,0,0,0,38400,0.1,0,0,0,0,0,,100.0,61.6,0.0,0.0,0.0,,,Pak n save,,2000,$1.82,$2.09,,,,$1.05,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Kaya,"Active, completed",Mix-in,z.Topping,Kaya,,,Homemade,,683.77,4.29,11.23,9.26,15.81,11.64,178.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.5,0.0,#N/A,#N/A,,,Home made,,1000,$7.07,$8.13,,,,$8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gula melaka caramel,"Active, incomplete",Mix-in,z.Topping,Gula melaka caramel,,,Homemade,,767.00,2.07,22.46,17.29,1.82,2.52,294.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.0,0.0,#N/A,#N/A,,,Home made,,1000,$6.86,$7.89,,,,$7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salted caramel,"Active, completed",Mix-in,z.Topping,Salted caramel,,,Homemade,,1700.00,0.00,0.00,0.00,0.00,100.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$1.44,$1.66,,,,$1.66,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Self raising flour (Generic),"Active, completed",Grain,Dry,Self raising flour,,,Generic,E1089,1430,10.3,1.7,0.35,68.3,2,,13,0,0.5,0,0,0,,87.0,73.0,0.0,0.5,0.5,,,Pams,,1500,$2.08,$2.39,,,,$1.59,,,0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Sesame paste (black),"Inactive, incomplete",Dried Fruit,,Sesame paste 'Black',,,Generic,,,17,48,,,0.5,390,5,0,0.5,0,0,0,0,95.0,29.1,0.0,0.5,0.5,,,Health Post,,,$0.00,,,,,#DIV/0!,66.92,0,0,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Sesame, 'black', paste (Kuki)","Active, completed",Seed,Wet,"Sesame, 'black'",,paste,Kuki,,2787,18.5,57.9,7.6,5.2,0.4,7,3.1,0,0.4,0,0,0,0,96.9,20.1,0.0,0.4,0.4,,,JPN,,1000,$34.43,$39.60,10-Aug-2025,,,$39.60,81.06,,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,8kg
"Sesame, 'black', paste (Sing long)","Active, completed",Seed,Wet,"Sesame, 'black'",,paste,Sing long,,2587.2,22.1,56.9,8.0,3.9,3,1,3.1,0,0,0,0,0,0,96.9,14.9,0.0,0.0,0.0,,,Singapore,,150,$3.04,$3.50,,,,$23.33,79.66,,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Sichuan peppers, whole (Hein)","Active, completed",Flavour,Dry,Sichuan peppers,,whole,Hein,,1079,6.7,8.9,0,66.5,0,47,5,0,0,0,0,0,0,95.0,79.4,0.0,0.0,0.0,,,Taiping,,50,$4.63,$5.33,,,,$106.60,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Skim milk powder,"Active, completed",Dairy,Dry,Skim milk powder,,,Generic,F36,1450,38.2,0.8,0.5,45.6,45.6,531,3.4,45.6,0,0,0,0,0,96.6,11.5,95.3,45.6,7.3,,,"Pak n Save
Davis (9.40kg)",MILKSHW,25000,$193.22,$222.20,,,,$8.89,0,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6.25
Skim milk powder (Go milk),"Inactive, completed",Dairy,,Skim milk powder,,,Go milk,,1530,33.3,1,1,54.33,54.33,366,3.4,54.33,0,0,0,0,0,96.6,7.6,95.2,54.3,8.7,,,Pak n  Save,,1000,$10.00,$11.50,,,,$11.50,0,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Skim milk powder (Pams),"Inactive, completed",Dairy,,Skim milk powder,,,Pams,,1520,33,1,1,54,54,390,3.4,54,0,0,0,0,0,96.6,8.2,95.2,54.0,8.6,,,"Pak n Save
Davis (9.40kg)",,1000,$8.69,$9.99,,,,$9.99,0,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Skim milk powder, high heat (Westland)","Active, completed",Dairy,Dry,"Skim milk powder, high heat",,,Westland,,1527,33.1,0.8,0.54,55,55,341,3.7,55,0,0,0,0,0,96.3,7.1,95.2,55.0,8.8,,,Davis,MILKSHW,25000,$193.22,$222.20,,,,$8.89,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Spekulatius biscuit,"Inactive, incomplete",Other,,,,,,,,6.9,20.7,,,27.6,880,6.02,0,27.6,0,0,0,0,94.0,37.9,0.0,27.6,27.6,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Star anise, whole, raw (Davis)","Active, completed",Flavour,Dry,Star anise,whole,raw,Davis,P30,1580,6,20.1,4.39,27,27,,6.9,0,20,0,5,0,,93.1,40.0,0.0,29.5,23.5,,,Davis,,500,$17.22,$19.80,,,,$39.60,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Strawberries, whole, frozen","Active, completed",Fruit,Wet,Strawberries,whole,frozen,,,156,1,0,0,7.96,4.86,2,90,0,0,2.5,2.3,0,0,10.0,4.1,0.0,9.1,5.9,,,Davis,STRAWBF,1000,$5.59,$6.43,,,,$6.43,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Strawberries, whole, frozen (SB)","Active, completed",Fruit,Wet,Strawberries,whole,frozen,SB,,169,0.6,0.3,0.1,8.7,5.6,0.6,90,0,0,2.9,2.7,0,0,10.0,3.5,0.0,10.7,6.9,,,Davis,,1000,$5.59,$6.43,,,,$6.43,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Strawberry (fresh),"Inactive, incomplete",Fruit,,Strawberry,,raw,Generic,L1016,,0.7,0.3,,,6.5,1,91.3,0,1.1,2.9,2.5,0,0,8.7,1.2,0.0,11.4,7.8,,,,,,$5.59,$6.43,,,,#DIV/0!,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Strawberry, whole, frozen (Barnicoat)","Inactive, incomplete",Fruit,Wet,Strawberry,whole,frozen,Barnicoat,,,0.6,0.4,,4.8,4.8,0,90,0,0,2.5,2.3,0,0,10.0,4.2,0.0,9.1,5.9,,,Davis,STRAW1,1000,$6.59,$7.58,,,,$7.58,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Sucrose,"Active, completed",Sugar,Dry,Sucrose,,,Pams,,1700,0,0,0,100,100,5,0,0,100,0,0,0,0,100.0,0.0,0.0,100.0,100.0,,,Pak n save,,5000,$8.69,$9.99,22-May-2025,,,$2.00,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5kg
"Sultanas, whole","Active, completed",Dried Fruit,Dry,Sultanas,whole,,,L173,1380,2.8,0.4,0.16,75,73.2,36,16,0,0.1,37.3,35.8,0,0,84.0,7.6,0.0,139.0,88.6,,,Davis,,1000,$7.07,$8.13,,,,$8.13,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Sweet Corn, frozen, kernel, raw (McCain)","Active, completed",Grain,Dry,"Sweet Corn, frozen",kernel,raw,McCain,X1159,350,2.9,2.1,0.41,12,7.3,0,78,0,7.3,0,0,0,0,22.0,9.7,0.0,7.3,7.3,,,Pak n Save,,1000,$4.77,$5.49,,,,$5.49,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Tropical caribbean (Culley's),"Active, completed",Flavour,Wet,Tropical caribbean,,,Culley's,,296,1,1,1,14.4,13.9,372,71.7,0,13.9,0,0,0,0,28.3,12.0,0.0,13.9,13.9,,,Countdown,,150,$8.69,$9.99,,,,$66.60,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Ube, frozen (Jadan)","Inactive, incomplete",Vegetable,,Ube,flesh,frozen,Jadan,,,2,0,,,0,0,81,0,0,0,0,0,0,19.0,17.0,0.0,0.0,0.0,,,Taiping,,1000,$4.14,$4.76,,,,$4.76,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Vanilla bean paste (Queen),"Inactive, incomplete",Flavour,,Vanilla bean paste,,,Queen,,1189,0,0,0,46.8,46.8,25,65,0,46.8,0,0,15,0,35.0,0.0,0.0,157.8,46.8,,,Gilmours,,320,$36.85,$42.38,,,,$132.43,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Vanilla extract,"Inactive, incomplete",Flavour,,Vanilla,,extract,Generic,,,0,0,,,0,0,65,0,,,,35,,0.0,0.0,0.0,259.0,0.0,,,,,,$0.00,,,,,#DIV/0!,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Vanilla extract (Equagold),"Active, completed",Flavour,Wet,Vanilla extract,,,Equagold,,1025,0,0,0,0,0,0,65,0,0,0,0,35,0,35.0,35.0,0.0,259.0,0.0,,,Equagold,,500,$44.15,$50.77,,,,$101.55,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Vanilla extract, 2 Fold (Equagold)","Active, completed",Flavour,Wet,"Vanilla extract, 2 Fold",,,Equagold,,,,,,,,,65,,,,,35,,35.0,35.0,0.0,259.0,0.0,,,Equagold,,500,$80.00,$92.00,,,,$184.00,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Vanilla natural flavour paste, Bakers Blend (Queen)","Inactive, incomplete",Flavour,,"Vanilla natural flavour paste, Bakers Blend",,,Queen,,761,0,0,0,11.1,11,0,65,0,11,0,0,0,0,35.0,24.0,0.0,11.0,11.0,,,Gilmours,,,$0.00,,,,,#DIV/0!,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Vanilla paste (Equagold),"Active, completed",Flavour,Wet,Vanilla paste,,,Equagold,,561,0.2,0.21,0.21,33,33,1,32.5,0,33,0,0,0,0,67.5,34.1,0.0,33.0,33.0,,,Equagold,,250,$74.44,$85.61,8-May-2025,,,$342.42,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5 bottles
Vanilla pod 1g/pod,"Inactive, incomplete",Flavour,,Vanilla,,whole,Generic,,,0,0,,,0,0,0,0,,,,0,,100.0,100.0,0.0,0.0,0.0,,,Reso Fine Food ,,,$0.00,,,,,#DIV/0!,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Vanilla seed (Equagold),"Inactive, incomplete",Flavour,,Vanilla seed,,,Equagold,,,,,,,,,,,,,,,,100.0,100.0,0.0,0.0,0.0,,,Equagold,,100,$85.20,$97.98,,,,$979.80,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Vanilla seed, exhausted (Equagold)","Inactive, incomplete",Flavour,,"Vanilla seed, exhausted",,,Equagold,,,,,,,,,,,,,,,,100.0,100.0,0.0,0.0,0.0,,,Equagold,,1000,$60.00,$69.00,,,,$69.00,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Wasabi, raw (Mama san)","Inactive, incomplete",Flavour,,Wasabi,,raw,Mama san,,1072,3.84,9.2,2.87,39.2,8.18,2230,31.7,0,0,0,8.18,0,0,68.3,44.9,0.0,15.5,5.7,,,Pak N Save,,43,$1.99,$2.29,,,,$53.26,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Water,"Active, completed",Other,Wet,Water,,,Generic,C40,0,0,0,0,0,0,1,100,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,,Home made,,10000,$1.61,$1.86,,,,$0.19,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Watermelon,"Active, completed",Fruit,Wet,Watermelon,flesh,raw,Generic,L1121,,0.9,0.2,,,7.6,0,90,0,1.5,4.1,2,0,0,10.0,1.3,0.0,13.1,9.9,,,,,1000,$6.09,$7.00,,,,$7.00,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Watermelon, flesh, raw","Inactive, incomplete",Fruit,,,,,,L1121,,0.9,0.2,,,7.6,0,90,0,1.5,4.1,2,0,0,10.0,1.3,0.0,13.1,9.9,,,,,1000,$6.09,$7.00,,,,$7.00,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Whiskey, 43%","Inactive, incomplete",Alcohol,,,,,,B1009,,0,0,,,0.1,0,63.9,0,0.1,0,0,63.9,0,36.1,36.0,0.0,473.0,0.1,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
White Chocolate,"Inactive, incomplete",Chocolate,,White Chocolate,,,Generic,W1028,,6.9,31.9,,,61.3,0,0.9,13.8,47,0.2,0.3,0,0,99.1,-1.0,0.0,61.8,49.8,,,Pak n Save,,250,$4.34,$4.99,,,,$19.96,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
White rice (Value),"Active, completed",Grain,Dry,White rice,,,Value,,1480,6.6,0.5,0.4,79,0.2,2,26.6,0,0.2,0,0,0,0,73.4,66.1,0.0,0.2,0.2,,,Pak n Save,,1000,$1.90,$2.19,,,,$2.19,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Yeast spread (Marmite),"Inactive, incomplete",Flavour,,Yeast spread,,,Marmite,P1004,680,17,1.2,0.21,14,12,3100,31,0,4.9,4.2,2.5,0,,69.0,35.7,0.0,17.6,13.8,,,Pak n Save,,250,$3.90,$4.49,,,,$17.96,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Yoghurt, plain, unsweetened","Inactive, incomplete",Dairy,,,,,,,,3.7,5.2,,,3,43,86,3,0,0,0,0,0,14.0,2.1,8.8,3.0,0.5,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Cashew, dry roasted","Active, incomplete",Dried Fruit,Dry,Cashew,,dry roasted,,Q1057,2400,18,49,8.9,18,6.9,360,2.9,0,6.9,0,0,0,0,97.1,22.8,0.0,6.9,6.9,,,Davis,CAS3500,500,$12.92,$14.86,8-Jul-2025,,,$29.72,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Gula Melaka,"Active, incomplete",Sugar,,,,,,,,,,,,,,,,,,,,,100.0,100.0,0.0,0.0,0.0,,,Davis,,500,$3.07,$3.53,6-Sep-2025,,,$7.06,,,0,,,,,,,,,,,,,,,,,,,,,,,,
