,,,,,,,,,Nutritional Panel (per 100g),,,,,,,Balancing fields,,,,,,,Calculated field,Calculated field,Calculated field,Calculated field,Calculated field,Recipe Ranges,,Cost,,,,,,,,,Chocolate,,,Allergens,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Category,Type,Ingredient,Component,Preparation,Brand,Food Composition ID,"Energy, FSANZ",Protein,"Fat, total","Fat, saturated (SFA)","Carbohydrate, available","Sugars, total",Sodium (mg),Water,Lactose,Sucrose,Fructose,Glucose,Alcohol,Dextrose,Total solids,Other solids,MSNF,PAC,POD,Min range,Max range,Supplier,Supplier code,Package size,Cost per pack (GST excl),Cost per pack,Price last updated,Initial cost per kg,% of useful product,Cost per kg,HF,Dry Cocoa solids (without fat),Cocoa butter,Wheat,​Fish,​Crustacean,​Mollusc,​Egg,​Milk,​Lupin,​Peanut,"​Soy, Soya, Soybean",​Sesame,​Almond,​Brazil Nut,​Cashew,​Hazelnut,​Macadamia,​Pecan,​Pistachio,​Pine Nut,​Walnut,​Barley*,​Oats*,​Rye*,​Sulphites**,FY24/25 Stocktake
Brown Sugar,"Active, completed",Sugar,Dry,"Sugar, 'brown'",,,Chelsea,W19,1640,0.2,0,,,96,16,2.3,0,93,1,2,0,0,97.7,1.5,0.0,98.7,96.1,,,Pak n save,,1000,$2.77,$3.19,,,,$3.19,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1kg
Brownie,"Active, completed",Mix-in,z.Topping,Brownie,,,Homemade,,2747.02,9.37,39.36,24.16,64.46,39.70,427.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$17.98,$20.68,,,,$20.68,,,0,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Butter (Kirkland),"Active, completed",Dairy,Wet,Butter,,,Kirkland,,2987.376,0,78.54,49.98,0,0,535.5,15.4,0.4,0,0,0,0,0,84.6,5.5,5.9,0.4,0.1,,,Costco,,1000,$8.70,$10.00,22-May-2025,,,$10.00,0,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Butter, unsalted","Inactive, completed",Dairy,,Butter,,unsalted,Generic,F1050,3110,0.3,83.6,54.1,0.5,0.5,7,15.3,0.3,0.1,0.1,0.1,0,0,84.7,0.3,0.9,0.8,0.4,,,Pak n save,,500,$6.95,$7.99,,,,$15.98,0,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Candied bacon,"Active, completed",Mix-in,z.Topping,Candied bacon,,,Homemade,,1807.73,31.01,30.73,10.18,4.13,7.97,1.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#REF!,0.0,#N/A,#N/A,,,Home made,,1000,$13.87,$15.95,,,,$15.95,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Candied roti,"Active, completed",Mix-in,z.Topping,Candied roti,,,Homemade,,1291.52,3.58,19.11,12.18,46.65,23.68,516.04,,,,,,,,,-46.9,,0.0,,,,Home made,,1000,$8.33,$9.58,,,,$9.58,,,0,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Caramelized sugar,"Active, completed",Sugar,Dry,Sugar,,caramelized,,,1700,0,0,,,100,0,0,0,0,50,50,0,0,100.0,0.0,0.0,190.0,100.0,,,Pak n Save,,1500,$2.17,$2.49,,,,$1.66,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Cardamom, whole, raw (Davis)","Active, completed",Flavour,Dry,Cardamom,whole,raw,Davis,P25,1420,10.8,6.7,0.68,52.5,32,18,8.3,0,12.1,8.9,11,0,0,91.7,42.2,0.0,49.9,34.9,,,Davis,,500,$35.53,$40.86,,,,$81.72,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Carolina reaper (Culley's),"Active, completed",Flavour,Wet,Carolina reaper,,,Culley's,,213,1.2,1,1,12.2,8.4,3000,89,0,8.4,0,0,0,0,11.0,-2.6,0.0,8.4,8.4,,,Countdown,,148,$6.52,$7.50,,,,$50.68,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Carrot, raw","Active, incomplete",Vegetable,,Carrot,,raw,Generic,X1114,160,0.6,0.2,0.03,6.8,6.6,41,88.9,0,3.9,1.3,1.4,0,0,11.1,3.7,0.0,9.0,7.1,,,Pak n save,,1000,$1.99,$2.29,,,,$2.29,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
